time,match_id,start_time,did_rad_win?
4184,4971835498,1566045765,false
4180,2853782985,1482000295,true
4179,4262555657,1544357608,true
4178,5113485621,1573809889,false
4177,5226468205,1580826915,false
4175,4141785813,1538150020,false
4175,4246996667,1543583385,true
4172,3950177714,1528896260,false
4167,5185617947,1578284859,true
4165,3188810567,1495109927,true
4165,4975000645,1566182637,true
4164,4654310195,1555321407,false
4162,5078443236,1571595935,false
4161,3240078917,1497147479,false
4161,4765815824,1558267770,true
4160,4158728225,1538999205,false
4155,5212187593,1580040620,true
4155,3210102450,1495990617,true
4153,4443074392,1550680844,true
4152,5276862122,1583456606,true
4152,3300913642,1499524806,true
4150,5129214445,1574787654,true
4150,4348166274,1547989960,true
4148,3334265970,1500932127,true
4148,5187140134,1578386669,true
4144,5477560581,1592555605,false
4143,4485721232,1551599703,true
4142,2862451528,1482333354,true
4137,5107776675,1573400375,true
4134,5363692029,1587215502,true
4132,2912250384,1484291634,false
4132,5223225210,1580650060,false
4132,3436864323,1505074965,false
4130,3155003443,1493816990,true
4127,3945927628,1528711391,true
4121,4217674901,1542103984,false
4121,3048913600,1489243878,true
4121,5165780560,1577069080,true
4119,3278534680,1498623562,true
4117,3158388517,1493980256,false
4116,3042983572,1488990067,false
4116,3275351174,1498482399,true
4112,3083791178,1490722339,true
4110,5074701202,1571407801,false
4109,3002098550,1487270200,true
4109,4191106897,1540715482,true
4109,4017180468,1532185415,true
4109,5097130970,1572752289,true
4108,5350696877,1586684964,false
4107,3281702029,1498751094,false
4105,3204271432,1495766941,true
4105,2957209631,1485802143,false
4105,5284314793,1583803525,true
4102,5213770701,1580131468,false
4102,3149269675,1493568143,false
4100,3048321039,1489228326,false
4098,3298298741,1499425670,true
4095,2879125670,1482990254,false
4094,3432136259,1504894081,false
4092,4952126724,1565156406,false
4091,3925262511,1527777729,false
4088,3061556152,1489809854,true
4086,3925234298,1527777066,true
4085,5067731019,1570972018,true
4085,4857209628,1561199225,false
4084,4145361462,1538317411,true
4084,4147522124,1538421450,true
4082,5177208402,1577780967,true
4082,4200095077,1541184270,true
4080,3803486084,1522174242,false
4079,4142196057,1538169639,true
4079,4227823549,1542638143,false
4078,3045925133,1489136106,true
4077,3283572195,1498830808,false
4076,3354345479,1501812586,true
4075,3163360172,1494164181,false
4075,4179958146,1540129568,true
4072,5384903090,1588100948,false
4069,3280219317,1498689683,false
4064,3048135703,1489222512,false
4064,5208337520,1579790125,true
4063,5408412452,1589139245,false
4062,5389977263,1588335969,false
4061,3491294444,1507492425,false
4060,5101399761,1573018052,true
4060,5246182296,1581868262,true
4059,5451793488,1591191510,true
4059,4253638004,1543900072,false
4056,3648120341,1514542062,true
4056,4786697311,1558886110,false
4055,5370392981,1587481513,false
4055,5384977647,1588104123,true
4055,3793220334,1521660849,true
4052,4764522018,1558239946,false
4051,3202675514,1495697395,true
4049,4160281959,1539084534,false
4049,4925496941,1564083424,false
4047,5407604736,1589112432,false
4046,4930887344,1564297468,false
4041,5301341422,1584623310,false
4041,5069027491,1571050667,false
4041,5164822611,1577012698,true
4038,4425908761,1550262895,false
4038,3516963822,1508681915,false
4037,3794836522,1521750125,false
4034,4972067965,1566052426,false
4033,5099098061,1572865820,true
4032,3276395433,1498528928,true
4032,3795800335,1521809966,true
4030,2996290043,1487008945,true
4030,5405075457,1589004868,false
4030,4943097452,1564776638,false
4028,5337846591,1586167937,false
4027,5146292834,1575794100,false
4027,3587273378,1511870513,false
4027,3074523308,1490355325,true
4027,3349639247,1501589463,false
4026,3299005494,1499452874,true
4025,3245007839,1497304677,false
4024,4996242244,1567171404,false
4024,5107724093,1573398189,true
4024,5130078062,1574843518,true
4023,5150528385,1576072813,false
4023,3011972644,1487683836,true
4023,5114059141,1573836052,false
4022,5076336255,1571494128,false
4020,5077603483,1571562464,true
4020,3216534272,1496253516,false
4018,5323448219,1585572073,false
4018,3169051489,1494404477,true
4017,3121495728,1492329811,true
4017,4142115072,1538164632,true
4015,4143996536,1538252139,true
4015,3101246978,1491473013,false
4014,3054631322,1489489718,false
4013,3008981310,1487545361,false
4013,3794682870,1521742019,false
4012,4910831000,1563466006,false
4010,3194453869,1495338717,false
4009,5115096927,1573905667,true
4008,4524501150,1552416857,true
4008,4213147720,1541861621,true
4006,3147338543,1493490667,false
4006,4171340590,1539680867,false
4005,2902596048,1483876648,true
4004,3169392048,1494417325,true
4002,4185683334,1540461794,false
4002,4474501991,1551374074,false
4001,5198869988,1579166012,false
3999,4885105692,1562328693,false
3999,5267649446,1582988335,true
3997,3907978431,1527014119,false
3995,3147464579,1493496169,false
3994,5103797073,1573180494,false
3993,5399674369,1588752186,false
3992,4174243450,1539853514,false
3992,5358385157,1586993227,false
3992,3173158138,1494585527,false
3990,3524372428,1509040843,false
3990,3277886933,1498585057,false
3989,3802098268,1522100568,true
3989,4523146742,1552394783,true
3988,3327943594,1500674512,true
3987,3575730026,1511341354,true
3985,5078588309,1571605886,true
3985,3381255141,1502907425,false
3985,4466090262,1551193006,true
3984,4512121879,1552150436,true
3980,5363038222,1587194050,true
3980,5082241196,1571844151,true
3978,3277707782,1498578485,true
3978,4715428935,1556881597,true
3977,3153803108,1493753180,true
3976,3058457135,1489669919,false
3975,2938577299,1485372763,false
3973,5418032693,1589615148,false
3972,4168228169,1539508006,true
3970,3282621169,1498798783,true
3970,3215136931,1496204870,false
3968,4636087753,1554898057,true
3964,4954312190,1565254736,false
3962,4207647036,1541571129,false
3962,3188488410,1495098119,true
3962,3003332205,1487332573,false
3961,3220584307,1496424607,false
3961,4176481222,1539968925,true
3960,4141483069,1538140171,false
3959,5069516105,1571070290,false
3958,3281308081,1498739908,false
3957,3571699888,1511118561,true
